https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1615939200000,2021-03-17 00:00:00,ETH/BTC,0.03172600,0.03244600,0.03091200,0.03095900,293981.45500000,9338.46536313,307337
1615852800000,2021-03-16 00:00:00,ETH/BTC,0.03225400,0.03272400,0.03150300,0.03172500,294601.13500000,9487.12985233,306863
1615766400000,2021-03-15 00:00:00,ETH/BTC,0.03133100,0.03226800,0.03071800,0.03225400,345752.27100000,10876.44198203,378267
1615680000000,2021-03-14 00:00:00,ETH/BTC,0.03141200,0.03144700,0.03086400,0.03133200,221908.01200000,6911.39889225,252710
1615593600000,2021-03-13 00:00:00,ETH/BTC,0.03086100,0.03185600,0.03062100,0.03141200,326889.33600000,10230.84118772,340552
1615507200000,2021-03-12 00:00:00,ETH/BTC,0.03160700,0.03193300,0.03043900,0.03086000,287987.79800000,9014.95905349,342596
1615420800000,2021-03-11 00:00:00,ETH/BTC,0.03214000,0.03244100,0.03138800,0.03159900,329124.79800000,10484.56176540,322898
1615334400000,2021-03-10 00:00:00,ETH/BTC,0.03408900,0.03412400,0.03170200,0.03214000,336915.43900000,11084.17082869,352900
1615248000000,2021-03-09 00:00:00,ETH/BTC,0.03500000,0.03520900,0.03344700,0.03408300,316921.89000000,10775.70305860,352236
1615161600000,2021-03-08 00:00:00,ETH/BTC,0.03387100,0.03528100,0.03358700,0.03499700,382024.40600000,13059.71067805,378696
1615075200000,2021-03-07 00:00:00,ETH/BTC,0.03376100,0.03434000,0.03239500,0.03387200,323946.01000000,10755.50104528,318406
1614988800000,2021-03-06 00:00:00,ETH/BTC,0.03134600,0.03450000,0.03132400,0.03376200,396988.56900000,13048.23843030,371076
1614902400000,2021-03-05 00:00:00,ETH/BTC,0.03182000,0.03196200,0.03077100,0.03134400,318884.87800000,9965.55928933,332458
1614816000000,2021-03-04 00:00:00,ETH/BTC,0.03113500,0.03227500,0.03105600,0.03181700,309058.78700000,9774.38990603,332147
1614729600000,2021-03-03 00:00:00,ETH/BTC,0.03069900,0.03189100,0.03066300,0.03113500,314426.42600000,9858.13758190,329754
1614643200000,2021-03-02 00:00:00,ETH/BTC,0.03164900,0.03219900,0.03066200,0.03069500,350267.19600000,11076.06399983,338841
1614556800000,2021-03-01 00:00:00,ETH/BTC,0.03144100,0.03213100,0.03091500,0.03164900,331524.01600000,10437.58200149,342618
1614470400000,2021-02-28 00:00:00,ETH/BTC,0.03162900,0.03173200,0.02993300,0.03144000,339350.94400000,10430.07263380,375463
1614384000000,2021-02-27 00:00:00,ETH/BTC,0.03120300,0.03231900,0.03100200,0.03163000,285985.54400000,9010.82905690,329058
1614297600000,2021-02-26 00:00:00,ETH/BTC,0.03147600,0.03254900,0.03112700,0.03119700,333212.37300000,10585.43128763,415953
1614211200000,2021-02-25 00:00:00,ETH/BTC,0.03267800,0.03290400,0.03105600,0.03147500,291747.04000000,9365.35225599,367428
1614124800000,2021-02-24 00:00:00,ETH/BTC,0.03226600,0.03355100,0.03190300,0.03267200,366610.14200000,12045.47111562,447204
1614038400000,2021-02-23 00:00:00,ETH/BTC,0.03286000,0.03315800,0.03008000,0.03226600,562256.97500000,17883.76529772,668661
1613952000000,2021-02-22 00:00:00,ETH/BTC,0.03367600,0.03423900,0.03200000,0.03285900,467019.52400000,15421.14518892,582788
1613865600000,2021-02-21 00:00:00,ETH/BTC,0.03425300,0.03456100,0.03328300,0.03367400,279375.05800000,9522.81636156,367540
1613779200000,2021-02-20 00:00:00,ETH/BTC,0.03497700,0.03668200,0.03346400,0.03425100,452028.72500000,15970.48874768,526016
1613692800000,2021-02-19 00:00:00,ETH/BTC,0.03761900,0.03776800,0.03477600,0.03497700,382607.77400000,13938.34911867,409768
1613606400000,2021-02-18 00:00:00,ETH/BTC,0.03550300,0.03765400,0.03535700,0.03760500,425808.96300000,15672.29690488,443958
1613520000000,2021-02-17 00:00:00,ETH/BTC,0.03625600,0.03626300,0.03487800,0.03549100,386547.30800000,13679.58193138,409933
1613433600000,2021-02-16 00:00:00,ETH/BTC,0.03713400,0.03740000,0.03570100,0.03625100,323201.71000000,11781.96052269,388401
1613347200000,2021-02-15 00:00:00,ETH/BTC,0.03705300,0.03799800,0.03606200,0.03713200,361129.54700000,13408.71323575,424764
1613260800000,2021-02-14 00:00:00,ETH/BTC,0.03849600,0.03883200,0.03682000,0.03705300,305525.78700000,11464.53592221,376636
1613174400000,2021-02-13 00:00:00,ETH/BTC,0.03890600,0.03929000,0.03804000,0.03849800,288083.59700000,11111.58032336,394413
1613088000000,2021-02-12 00:00:00,ETH/BTC,0.03722900,0.03936300,0.03670000,0.03890000,395028.85400000,14918.13694608,481471
1613001600000,2021-02-11 00:00:00,ETH/BTC,0.03885800,0.03918200,0.03688600,0.03723500,366935.79200000,13958.87718962,426539
1612915200000,2021-02-10 00:00:00,ETH/BTC,0.03811500,0.03980000,0.03763800,0.03885000,464221.56600000,17922.29229324,533565
1612828800000,2021-02-09 00:00:00,ETH/BTC,0.03773100,0.03887600,0.03658600,0.03811300,544896.08100000,20495.19392364,570173
1612742400000,2021-02-08 00:00:00,ETH/BTC,0.04153900,0.04228500,0.03723200,0.03773100,558028.06200000,22278.06940734,621977
1612656000000,2021-02-07 00:00:00,ETH/BTC,0.04276000,0.04317500,0.03992600,0.04153700,400986.45500000,16616.63501443,485377
1612569600000,2021-02-06 00:00:00,ETH/BTC,0.04489200,0.04523600,0.04061100,0.04276000,626839.15400000,26616.57157643,624820
1612483200000,2021-02-05 00:00:00,ETH/BTC,0.04320000,0.04618000,0.04310000,0.04488800,420896.42900000,18825.29345457,503648
1612396800000,2021-02-04 00:00:00,ETH/BTC,0.04424500,0.04473400,0.04280000,0.04319400,468671.18900000,20536.15712679,563165
1612310400000,2021-02-03 00:00:00,ETH/BTC,0.04262300,0.04446600,0.04173000,0.04424200,493335.91700000,21240.78678160,646418
1612224000000,2021-02-02 00:00:00,ETH/BTC,0.04099900,0.04332900,0.04050600,0.04262300,621840.63500000,25900.71695338,639460
1612137600000,2021-02-01 00:00:00,ETH/BTC,0.03966400,0.04115300,0.03847700,0.04099600,359752.56500000,14166.13144435,366174
1612051200000,2021-01-31 00:00:00,ETH/BTC,0.04022000,0.04055300,0.03956400,0.03966200,281806.76800000,11277.99922803,332862
1611964800000,2021-01-30 00:00:00,ETH/BTC,0.04028200,0.04057900,0.03920200,0.04022000,351100.10200000,14033.10186027,412794
1611878400000,2021-01-29 00:00:00,ETH/BTC,0.03983800,0.04090200,0.03623300,0.04028100,843388.97300000,32512.25372668,831960
1611792000000,2021-01-28 00:00:00,ETH/BTC,0.04083300,0.04240000,0.03976400,0.03984300,383916.52900000,15840.47352119,444671
1611705600000,2021-01-27 00:00:00,ETH/BTC,0.04206500,0.04263600,0.04037500,0.04084100,443591.08600000,18270.74023194,498956
1611619200000,2021-01-26 00:00:00,ETH/BTC,0.04085300,0.04230000,0.04007400,0.04206500,422323.02300000,17463.82177825,468189
1611532800000,2021-01-25 00:00:00,ETH/BTC,0.04316000,0.04500000,0.04043800,0.04085400,608404.25800000,25676.75975613,598468
1611446400000,2021-01-24 00:00:00,ETH/BTC,0.03844900,0.04336400,0.03844900,0.04316300,466092.49200000,19138.44237385,483741
1611360000000,2021-01-23 00:00:00,ETH/BTC,0.03740400,0.03915900,0.03718900,0.03845000,293801.40400000,11285.83916976,350866
1611273600000,2021-01-22 00:00:00,ETH/BTC,0.03605600,0.03845000,0.03550000,0.03740200,383799.81800000,14337.57924664,506131
1611187200000,2021-01-21 00:00:00,ETH/BTC,0.03882000,0.03905000,0.03601700,0.03603600,473041.33600000,17947.78498761,521006
1611100800000,2021-01-20 00:00:00,ETH/BTC,0.03807900,0.03899300,0.03627200,0.03881900,504868.53900000,19123.19446230,559594
1611014400000,2021-01-19 00:00:00,ETH/BTC,0.03436300,0.03887700,0.03424100,0.03807900,652730.69900000,24238.27426400,529610
1610928000000,2021-01-18 00:00:00,ETH/BTC,0.03440000,0.03464300,0.03328600,0.03435700,296037.99600000,10061.41461716,247006
1610841600000,2021-01-17 00:00:00,ETH/BTC,0.03411000,0.03487700,0.03375800,0.03440000,311123.37100000,10689.35257766,313857
1610755200000,2021-01-16 00:00:00,ETH/BTC,0.03180500,0.03482900,0.03164700,0.03411400,371173.99700000,12329.32321701,398589
1610668800000,2021-01-15 00:00:00,ETH/BTC,0.03145500,0.03257700,0.03111400,0.03181200,435872.08300000,13921.23314208,428390
1610582400000,2021-01-14 00:00:00,ETH/BTC,0.03023400,0.03152200,0.02944000,0.03145100,398031.01900000,12091.72746724,366196
1610496000000,2021-01-13 00:00:00,ETH/BTC,0.03085200,0.03137100,0.03002700,0.03023200,314834.42800000,9690.65379761,337982
1610409600000,2021-01-12 00:00:00,ETH/BTC,0.03069200,0.03215400,0.03027500,0.03085100,404213.12800000,12584.35865709,366838
1610323200000,2021-01-11 00:00:00,ETH/BTC,0.03287700,0.03306100,0.02971000,0.03070000,768405.68300000,23910.39950410,745797
1610236800000,2021-01-10 00:00:00,ETH/BTC,0.03183000,0.03387300,0.03156500,0.03287800,562292.17600000,18450.41076023,492554
1610150400000,2021-01-09 00:00:00,ETH/BTC,0.02997700,0.03219500,0.02946600,0.03183000,429652.20700000,13114.34580400,370234
1610064000000,2021-01-08 00:00:00,ETH/BTC,0.03104800,0.03115700,0.02900300,0.02997500,494495.49000000,14904.87328302,461815
1609977600000,2021-01-07 00:00:00,ETH/BTC,0.03287300,0.03301600,0.03090100,0.03104800,497566.14800000,15937.87823192,430443
1609891200000,2021-01-06 00:00:00,ETH/BTC,0.03239600,0.03452000,0.03132300,0.03287300,595927.88600000,19513.97251707,522426
1609804800000,2021-01-05 00:00:00,ETH/BTC,0.03255200,0.03455500,0.03109400,0.03239300,711228.33500000,23326.86644554,629535
1609718400000,2021-01-04 00:00:00,ETH/BTC,0.02963900,0.03500000,0.02892900,0.03255100,1065276.77600000,34052.77416581,962251
1609632000000,2021-01-03 00:00:00,ETH/BTC,0.02406200,0.03050000,0.02308300,0.02964000,879979.85100000,23408.58952013,671050
1609545600000,2021-01-02 00:00:00,ETH/BTC,0.02485100,0.02495500,0.02354000,0.02406200,392306.65200000,9538.47358520,271256
1609459200000,2021-01-01 00:00:00,ETH/BTC,0.02546400,0.02555100,0.02480000,0.02485000,218305.47200000,5498.47719109,140532
1609372800000,2020-12-31 00:00:00,ETH/BTC,0.02604500,0.02610500,0.02538100,0.02545800,231256.59500000,5941.62586171,163547
1609286400000,2020-12-30 00:00:00,ETH/BTC,0.02673300,0.02700200,0.02577200,0.02604600,332506.76000000,8698.20813128,206933
1609200000000,2020-12-29 00:00:00,ETH/BTC,0.02697400,0.02737600,0.02630000,0.02673200,272507.13800000,7341.05401959,214069
1609113600000,2020-12-28 00:00:00,ETH/BTC,0.02605900,0.02766600,0.02576000,0.02696700,612564.01400000,16455.43136438,321071
1609027200000,2020-12-27 00:00:00,ETH/BTC,0.02405500,0.02650000,0.02275400,0.02605700,732496.12100000,18044.22688085,358235
1608940800000,2020-12-26 00:00:00,ETH/BTC,0.02536400,0.02550600,0.02388800,0.02405500,316895.77000000,7885.09651553,166092
1608854400000,2020-12-25 00:00:00,ETH/BTC,0.02580600,0.02612600,0.02524000,0.02536300,263356.94900000,6775.30383044,129788
1608768000000,2020-12-24 00:00:00,ETH/BTC,0.02520600,0.02597900,0.02478000,0.02580600,282077.82500000,7126.68642100,147565
1608681600000,2020-12-23 00:00:00,ETH/BTC,0.02672900,0.02677000,0.02410700,0.02520000,392290.01300000,10148.30557984,219619
1608595200000,2020-12-22 00:00:00,ETH/BTC,0.02675300,0.02703900,0.02620900,0.02672900,268617.07100000,7143.62632471,142784
1608508800000,2020-12-21 00:00:00,ETH/BTC,0.02719500,0.02730900,0.02640200,0.02675300,219486.58500000,5902.23641310,137134
1608422400000,2020-12-20 00:00:00,ETH/BTC,0.02762200,0.02795700,0.02683100,0.02719300,218389.30100000,5995.45322308,141966
1608336000000,2020-12-19 00:00:00,ETH/BTC,0.02829300,0.02863200,0.02742200,0.02762100,277951.34300000,7803.46731063,163466
1608249600000,2020-12-18 00:00:00,ETH/BTC,0.02819300,0.02879500,0.02794400,0.02829200,245310.12300000,6935.82785751,146283
1608163200000,2020-12-17 00:00:00,ETH/BTC,0.02986600,0.03035000,0.02745900,0.02818500,488229.16400000,14076.90429666,285386
1608076800000,2020-12-16 00:00:00,ETH/BTC,0.03030600,0.03037500,0.02950900,0.02986400,284385.67900000,8537.08864438,154704
1607990400000,2020-12-15 00:00:00,ETH/BTC,0.03042100,0.03057100,0.03012600,0.03030500,157968.93700000,4794.97086859,83524
1607904000000,2020-12-14 00:00:00,ETH/BTC,0.03081800,0.03087900,0.03021300,0.03042100,138119.46500000,4213.43616567,74111
1607817600000,2020-12-13 00:00:00,ETH/BTC,0.03020500,0.03091500,0.03000100,0.03081800,164339.00900000,4999.95170409,83439
1607731200000,2020-12-12 00:00:00,ETH/BTC,0.03018600,0.03051200,0.02988100,0.03020700,141634.02800000,4282.69180555,79627
1607644800000,2020-12-11 00:00:00,ETH/BTC,0.03062300,0.03071000,0.03008500,0.03018100,178288.22500000,5427.06762583,99217
1607558400000,2020-12-10 00:00:00,ETH/BTC,0.03091200,0.03103300,0.03047400,0.03062100,180753.12400000,5551.64876658,93584
1607472000000,2020-12-09 00:00:00,ETH/BTC,0.03028600,0.03136500,0.02988000,0.03090800,252301.98100000,7721.03057523,143170
1607385600000,2020-12-08 00:00:00,ETH/BTC,0.03084800,0.03087100,0.02993900,0.03028700,259698.36900000,7921.25871783,152474
1607299200000,2020-12-07 00:00:00,ETH/BTC,0.03107400,0.03109000,0.03069100,0.03084800,177978.21600000,5504.18081463,109719
1607212800000,2020-12-06 00:00:00,ETH/BTC,0.03117000,0.03145400,0.03090700,0.03107600,211907.78100000,6600.86481050,123533
1607126400000,2020-12-05 00:00:00,ETH/BTC,0.03041500,0.03118400,0.03030100,0.03116900,258714.39200000,7986.32579653,139551
1607040000000,2020-12-04 00:00:00,ETH/BTC,0.03170800,0.03176900,0.03040400,0.03041600,360755.22500000,11245.38622929,195556
